DBN,name,year,total_enrollment,female_num,male_num,asian_num,black_num,white_num,hispanic_num
25Q169,p.s. 169 bay terrace,2014,396,178,218,120,14,179,74
02M529,jacqueline kennedy onassis high school,2010,707,441,266,39,172,21,473
15K464,secondary school for research,2008,499,261,238,37,189,32,223
10X091,p.s. 091 bronx,2015,742,350,392,26,145,15,544
22K405,midwood high school,2009,3758,2053,1705,1099,1427,841,385
31R065,p.s. 65 the academy of innovative learning,2018,430,213,217,9,78,106,204
09X263,validus preparatory academy: an expeditionary le,2009,426,298,128,1,156,1,266
20K505,franklin delano roosevelt high school,2008,3608,1590,2018,1270,340,664,1326
14K126,jhs 126 john ericsson,2008,610,289,321,14,112,65,419
32K564,bushwick community high school,2011,420,211,209,1,166,8,242
02M408,professional performing arts high school,2006,420,305,115,16,102,193,75
13K605,george westinghouse career and technical education,2018,756,192,564,34,534,16,154
23K155,p.s./ i.s. 155 nicholas herkimer,2017,454,218,236,12,229,6,200
13K527,urban assembly institute of math and science for,2010,317,317,0,9,265,4,36
03M421,west prep academy,2011,123,60,63,2,70,5,43
29Q268,p.s. 268,2008,505,255,250,97,301,15,85
75X012,p.s. x012 lewis and clark school,2017,291,77,214,9,93,13,156
02M439,manhattan village academy,2014,414,277,137,26,51,27,301
10X032,p.s. 032 belmont,2014,805,417,388,5,198,14,579
29Q195,p.s. 195 william haberle,2017,579,296,283,6,531,5,30
24Q102,ps 102 bayview,2006,814,402,412,482,17,56,258
32K554,all city leadership secondary school,2017,413,233,180,25,42,29,315
10X268,kingsbridge international high school,2007,223,110,113,14,16,6,185
14K582,m.s. 582,2014,272,117,155,0,73,4,191
25Q460,flushing high school,2006,2661,1242,1419,614,550,140,1302
10X045,jhs 045 thomas c. giordano,2006,1341,657,684,24,198,82,1031
75M721,p.s. m721 - manhattan occupational training center,2017,170,57,113,19,48,9,94
15K443,new voices s. of acad. & creat,2007,418,259,159,27,81,86,222
23K271,is 271 john m coleman,2006,464,207,257,1,389,5,65
09X215,kappa,2014,335,207,128,24,166,3,140
21K303,is 303 herbert s. eisenberg                     ,2012,641,335,306,129,87,213,209
11X087,p.s. 087 bronx,2017,601,270,331,35,431,6,94
29Q038,ps 038 rosedale,2008,348,176,172,9,313,7,18
15K447,the upper carroll school,2011,502,236,266,53,139,181,120
30Q092,ps 092 harry t stewart sr.,2011,886,450,436,8,28,4,846
15K010,magnet sch. of math sci and design tech,2008,575,278,297,33,95,133,314
30Q126,albert shanker school for visual and performing,2006,815,392,423,177,156,56,422
75K373,p.s. 373 - brooklyn transition center,2014,353,120,233,7,216,17,108
18K114,ps 114 ryder elementary,2007,922,472,450,14,793,26,78
22K206,p.s. 206 joseph f lamb,2014,1393,685,708,659,35,559,131
01M034,ps 034 franklin d roosevelt,2011,393,194,199,27,81,10,270
21K177,ps 177 the marlboro,2008,891,430,461,295,14,342,240
10X046,ps 046 edgar allan poe,2008,1220,595,625,33,210,15,944
16K028,ps 028 the warren,2009,251,124,127,2,220,2,20
18K637,academy for conservation and the environment,2011,187,93,94,3,159,3,22
31R063,marsh avenue school for expeditionary learning,2009,139,68,71,13,26,68,29
10X319,providing urban learners success in education hi,2010,208,134,74,0,76,2,129
27Q114,ps 114 belle harbor,2007,795,374,421,17,27,711,39
12X341,accion academy,2016,154,74,80,3,39,4,107
04M555,central park east high school,2017,490,323,167,48,122,31,280
02M280,manhattan early college school for advertising,2015,97,47,50,7,31,16,42
11X160,p.s. 160 walt disney,2014,383,185,198,10,214,8,137
75M751,manhattan school for career development,2016,192,58,134,2,85,7,97
75Q224,p.s. q224,2015,434,113,321,82,128,68,128
09X413,bronx high school for medical science,2011,434,259,175,29,156,0,245
31R018,p.s. 018 john g. whittier,2015,637,284,353,19,284,38,286
22K195,p.s. 195 manhattan beach,2014,459,217,242,15,16,412,11
16K594,gotham professional arts academy                ,2012,294,167,127,3,231,2,57
07X551,bronx academy of letters,2007,314,205,109,8,117,1,185
07X548,careers in sports high school,2014,575,85,490,1,164,6,398
10X386,school for environmental citizenship,2011,438,227,211,2,84,3,347
15K429,digital arts and cinema technology high school,2014,275,113,162,6,148,15,98
02M416,eleanor roosevelt high school,2010,498,319,179,90,41,305,49
32K376,ps 376,2008,572,294,278,11,51,12,496
08X519,felisa rincon de gautier institute for law and pub,2016,275,150,125,9,69,5,186
14K297,p.s. 297 abraham stockton,2017,246,112,134,5,96,3,137
02M374,gramercy arts high school,2017,534,386,148,17,219,35,228
13K412,brooklyn community high school of communications,2009,324,156,168,2,272,4,45
19K346,p.s. 346 abe stark,2017,633,307,326,39,391,38,145
32K549,bushwick school for social justice,2008,435,228,207,1,119,2,303
24Q530,international high school at laguardia community,2012,493,266,227,212,10,51,217
31R011,ps 011 thomas dongan,2008,283,127,156,14,56,121,91
08X405,herbert lehman high school,2006,4120,1834,2286,255,922,576,2234
25Q525,townsend harris high school,2007,1093,762,331,524,86,354,129
19K213,p.s. 213 new lots,2015,396,198,198,3,316,11,64
28Q082,ps 082 hammond,2008,573,281,292,224,48,14,287
17K161,p.s. 161 the crown,2016,409,188,221,31,318,7,47
