total_enrollment,female_num,male_num,asian_num,black_num,white_num,hispanic_num
396,178,218,120,14,179,74
707,441,266,39,172,21,473
499,261,238,37,189,32,223
742,350,392,26,145,15,544
3758,2053,1705,1099,1427,841,385
430,213,217,9,78,106,204
426,298,128,1,156,1,266
3608,1590,2018,1270,340,664,1326
610,289,321,14,112,65,419
420,211,209,1,166,8,242
420,305,115,16,102,193,75
756,192,564,34,534,16,154
454,218,236,12,229,6,200
317,317,0,9,265,4,36
123,60,63,2,70,5,43
505,255,250,97,301,15,85
291,77,214,9,93,13,156
414,277,137,26,51,27,301
805,417,388,5,198,14,579
579,296,283,6,531,5,30
814,402,412,482,17,56,258
413,233,180,25,42,29,315
223,110,113,14,16,6,185
272,117,155,0,73,4,191
2661,1242,1419,614,550,140,1302
1341,657,684,24,198,82,1031
170,57,113,19,48,9,94
418,259,159,27,81,86,222
464,207,257,1,389,5,65
335,207,128,24,166,3,140
641,335,306,129,87,213,209
601,270,331,35,431,6,94
348,176,172,9,313,7,18
502,236,266,53,139,181,120
886,450,436,8,28,4,846
575,278,297,33,95,133,314
815,392,423,177,156,56,422
353,120,233,7,216,17,108
922,472,450,14,793,26,78
1393,685,708,659,35,559,131
393,194,199,27,81,10,270
891,430,461,295,14,342,240
1220,595,625,33,210,15,944
251,124,127,2,220,2,20
187,93,94,3,159,3,22
139,68,71,13,26,68,29
208,134,74,0,76,2,129
795,374,421,17,27,711,39
154,74,80,3,39,4,107
490,323,167,48,122,31,280
97,47,50,7,31,16,42
383,185,198,10,214,8,137
192,58,134,2,85,7,97
434,113,321,82,128,68,128
434,259,175,29,156,0,245
637,284,353,19,284,38,286
459,217,242,15,16,412,11
294,167,127,3,231,2,57
314,205,109,8,117,1,185
575,85,490,1,164,6,398
438,227,211,2,84,3,347
275,113,162,6,148,15,98
498,319,179,90,41,305,49
572,294,278,11,51,12,496
275,150,125,9,69,5,186
246,112,134,5,96,3,137
534,386,148,17,219,35,228
324,156,168,2,272,4,45
633,307,326,39,391,38,145
435,228,207,1,119,2,303
493,266,227,212,10,51,217
283,127,156,14,56,121,91
4120,1834,2286,255,922,576,2234
1093,762,331,524,86,354,129
396,198,198,3,316,11,64
573,281,292,224,48,14,287
409,188,221,31,318,7,47
549,288,261,223,48,200,71
979,462,517,31,445,76,415
413,197,216,2,79,6,322
192,97,95,2,172,1,15
747,365,382,137,20,33,542
1493,713,780,98,396,319,666
292,149,143,13,6,125,127
752,369,383,23,78,24,623
537,255,282,7,151,6,372
598,271,327,58,143,62,331
897,421,476,640,20,154,67
1032,584,448,5,996,2,29
615,316,299,69,41,362,110
821,393,428,15,23,26,757
471,191,280,8,46,4,413
385,199,186,5,128,4,243
792,164,628,41,212,154,368
547,357,190,7,394,4,131
426,218,208,2,171,4,242
301,154,147,69,55,3,168
650,323,327,155,123,68,303
489,240,249,13,108,137,222
533,275,258,12,15,89,413
3037,1297,1740,1891,91,702,195
598,305,293,13,521,2,57
359,243,116,11,281,4,52
712,355,357,16,643,21,29
522,264,258,273,43,91,113
103,54,49,15,12,17,55
379,180,199,16,25,4,283
449,251,198,40,30,270,101
446,232,214,94,63,158,120
203,117,86,1,70,9,121
697,287,410,28,237,94,329
1051,495,556,371,109,178,349
796,406,390,19,165,8,593
559,266,293,12,62,9,475
397,133,264,9,201,60,113
396,276,120,3,335,3,53
1276,603,673,348,312,383,231
191,99,92,2,87,0,102
362,178,184,2,113,5,241
771,341,430,64,139,302,231
4159,2033,2126,278,1282,86,2478
373,187,186,33,132,16,183
664,336,328,199,24,102,338
351,154,197,6,227,4,113
482,238,244,9,79,14,372
421,206,215,5,308,7,90
220,71,149,6,196,0,15
221,113,108,34,34,35,112
341,165,176,39,13,20,266
559,559,0,2,183,2,364
128,77,51,1,15,1,74
637,396,241,180,59,237,158
484,224,260,10,145,4,320
1127,540,587,13,857,4,250
1244,611,633,138,298,267,526
605,313,292,8,401,4,190
4021,2346,1675,1077,921,1144,816
526,274,252,2,267,2,253
384,97,287,17,96,19,250
382,382,0,5,102,2,263
930,490,440,38,67,4,806
408,187,221,1,153,15,239
219,104,115,2,111,3,101
648,301,347,12,147,13,468
1095,547,548,562,131,239,161
570,282,288,9,159,5,396
1136,636,499,186,86,579,232
374,166,208,14,304,7,43
269,131,138,0,236,2,28
203,104,99,7,160,20,13
769,375,394,28,6,664,59
959,468,491,59,107,11,755
1200,540,660,88,270,66,764
436,213,223,33,141,12,236
537,266,271,145,15,275,49
827,409,418,1,206,11,608
544,256,288,4,243,6,288
2039,1015,1024,156,48,20,1812
218,119,99,2,64,2,144
