DBN,name,year
25Q169,p.s. 169 bay terrace,2014
02M529,jacqueline kennedy onassis high school,2010
15K464,secondary school for research,2008
10X091,p.s. 091 bronx,2015
22K405,midwood high school,2009
31R065,p.s. 65 the academy of innovative learning,2018
09X263,validus preparatory academy: an expeditionary le,2009
20K505,franklin delano roosevelt high school,2008
14K126,jhs 126 john ericsson,2008
32K564,bushwick community high school,2011
02M408,professional performing arts high school,2006
13K605,george westinghouse career and technical education,2018
23K155,p.s./ i.s. 155 nicholas herkimer,2017
13K527,urban assembly institute of math and science for,2010
03M421,west prep academy,2011
29Q268,p.s. 268,2008
75X012,p.s. x012 lewis and clark school,2017
02M439,manhattan village academy,2014
10X032,p.s. 032 belmont,2014
29Q195,p.s. 195 william haberle,2017
24Q102,ps 102 bayview,2006
32K554,all city leadership secondary school,2017
10X268,kingsbridge international high school,2007
14K582,m.s. 582,2014
25Q460,flushing high school,2006
10X045,jhs 045 thomas c. giordano,2006
75M721,p.s. m721 - manhattan occupational training center,2017
15K443,new voices s. of acad. & creat,2007
23K271,is 271 john m coleman,2006
09X215,kappa,2014
21K303,is 303 herbert s. eisenberg                     ,2012
11X087,p.s. 087 bronx,2017
29Q038,ps 038 rosedale,2008
15K447,the upper carroll school,2011
30Q092,ps 092 harry t stewart sr.,2011
15K010,magnet sch. of math sci and design tech,2008
30Q126,albert shanker school for visual and performing,2006
75K373,p.s. 373 - brooklyn transition center,2014
18K114,ps 114 ryder elementary,2007
22K206,p.s. 206 joseph f lamb,2014
01M034,ps 034 franklin d roosevelt,2011
21K177,ps 177 the marlboro,2008
10X046,ps 046 edgar allan poe,2008
16K028,ps 028 the warren,2009
18K637,academy for conservation and the environment,2011
31R063,marsh avenue school for expeditionary learning,2009
10X319,providing urban learners success in education hi,2010
27Q114,ps 114 belle harbor,2007
12X341,accion academy,2016
04M555,central park east high school,2017
02M280,manhattan early college school for advertising,2015
11X160,p.s. 160 walt disney,2014
75M751,manhattan school for career development,2016
75Q224,p.s. q224,2015
09X413,bronx high school for medical science,2011
31R018,p.s. 018 john g. whittier,2015
22K195,p.s. 195 manhattan beach,2014
16K594,gotham professional arts academy                ,2012
07X551,bronx academy of letters,2007
07X548,careers in sports high school,2014
10X386,school for environmental citizenship,2011
15K429,digital arts and cinema technology high school,2014
02M416,eleanor roosevelt high school,2010
32K376,ps 376,2008
08X519,felisa rincon de gautier institute for law and pub,2016
14K297,p.s. 297 abraham stockton,2017
02M374,gramercy arts high school,2017
13K412,brooklyn community high school of communications,2009
19K346,p.s. 346 abe stark,2017
32K549,bushwick school for social justice,2008
24Q530,international high school at laguardia community,2012
31R011,ps 011 thomas dongan,2008
08X405,herbert lehman high school,2006
25Q525,townsend harris high school,2007
19K213,p.s. 213 new lots,2015
28Q082,ps 082 hammond,2008
17K161,p.s. 161 the crown,2016
22K134,p.s. k134,2016
11X076,p.s. 076 the bennington school,2017
08X333,the longwood academy of discovery,2017
23K518,kappa v (knowledge and power preparatory academy),2016
27Q097,p.s. 097 forest park,2017
31R445,port richmond high school,2016
06M314,muscota,2018
10X310,ps 310 marble hill                              ,2012
12X092,ps 092 bronx,2009
01M450,east side community high school                 ,2012
26Q203,p.s. 203 oakland gardens,2014
17K590,middle college high school at medgar evers colle,2011
03M166,p.s. 166 the richard rodgers school of the arts an,2015
06M173,ps 173,2008
06M328,ms 328  manhattan middle school for scientific,2009
09X252,mott hall bronx high school,2010
31R600,ralph r. mckee career and technical education high,2018
19K404,academy for young writers,2015
84X461,metropolitan lighthouse charter school,2016
08X562,blueprint middle school,2016
30Q171,ps 171 peter g van alst,2010
03M084,ps 084 lillian weber                            ,2012
06M278,paula hedbavny school,2016
10X445,the bronx high school of science,2014
23K493,brooklyn collegiate: a college board school,2011
17K751,academy for health careers,2018
29Q195,ps 195 william haberle,2008
26Q031,ps 031 bayside                                  ,2012
27Q316,queens explorers elementary school,2015
12X550,high school of world cultures,2011
31R063,marsh avenue school for expeditionary learning,2017
25Q670,robert f. kennedy community high school,2006
01M458,forsyth satellite academy,2018
15K448,brooklyn secondary school for collaborative stud,2011
28Q117,p.s. 117 j. keld / briarwood school,2017
12X196,ps 196                                          ,2012
04M372,esperanza preparatory academy,2018
75K141,p.s. k141,2014
17K548,brooklyn school for music & theatre,2011
21K096,is 096 seth low,2006
12X245,new day academy                                 ,2012
12X251,explorations academy,2010
84K707,brooklyn prospect charter school,2015
10X440,dewitt clinton high school                      ,2012
02M690,school for the physical city high school,2007
25Q029,ps 029 queens                                   ,2012
27Q053,m.s. 053 brian piccolo,2014
10X360,ps 360,2010
13K256,ps 256 benjamin banneker,2008
18K566,brooklyn generation school,2010
01M839,tompkins square ms extension,2006
30Q228,ps 228 ecc,2006
84X487,girls preparatory charter school of the bronx,2015
84X429,charter high school for law and social justice,2016
02M418,millennium high school,2011
09X414,jonathan levin high school for media and communi,2008
17K189,ps 189 lincoln terrace,2008
31R022,ps 022 graniteville,2009
11X111,ps 111 seton falls,2008
21K525,edward r. murrow high school,2014
05M685,bread & roses integrated arts high school,2009
02M300,urban assembly school of design and construction,2009
84X389,bronx global learning institute for girls charter,2015
09X218,p.s./i.s. 218 rafael hernandez dual language magne,2014
10X284,bronx school of law and finance,2011
04M037,river east,2011
10X037,p.s. x037 - multiple intelligence school,2015
26Q172,irwin altman middle school 172,2007
09X022,j.h.s. 022 jordan l. mott,2014
15K051,m.s. 51 william alexander,2018
17K161,p.s. 161 the crown,2017
16K584,ms 584,2010
17K397,p.s. 397 foster-laurie,2017
31R056,ps 56 the louis desario school,2010
19K108,p.s. 108 sal abbracciamento,2018
10X095,ps 095 sheila mencher,2009
04M083,ps 083 luis munoz rivera,2009
03M334,the anderson school,2018
09X073,p.s. 073 bronx,2015
14K586,lyons community school,2011
30Q145,is 145 joseph pulitzer,2011
12X251,explorations academy,2007
02M419,landmark high school,2014
03M860,frederick douglass academy ii secondary school,2006
02M281,the river school,2016
31R020,p.s. 020 port richmond,2018
21K121,ps 121 nelson a rockefeller,2011
05M148,eagle academy for young men of harlem,2017
01M361,children's workshop school,2009
13K307,ps 307 daniel hale williams,2009
79X695,passages academy,2015
07X551,the urban assembly bronx academy of letters,2015
14K120,p.s. 120 carlos tapia,2017
17K537,high school for youth and community development,2011
15K010,"magnet school of math, science and design technolo",2016
31R065,academy of innovative learning,2011
02M459,manhattan international high school,2007
13K044,p.s. 044 marcus garvey,2018
22K193,ps 193 gil hodges                               ,2012
31R027,is 027 anning s prall,2009
23K697,teachers preparatory high school                ,2012
27Q253,ps 253,2010
28Q680,queens gateway to health sciences secondary school,2017
15K497,school for international studies,2011
19K218,jhs 218 james p sinnott,2006
10X015,p.s. x015 institute for environmental learning,2014
05M517,teachers college community school,2017
31R030,ps 030 westerleigh,2008
03M421,west prep academy,2017
05M046,ps 046 arthur tappan,2006
27Q207,ps 207 rockwood park,2008
21K225,p.s. k225 - the eileen e. zaglin,2014
21K095,ps 095 the gravesend,2011
24Q585,maspeth high school,2018
15K442,m.s. 442 carroll gardens school for innovation,2017
08X036,ps 036 unionport                                ,2012
84M483,new york french american charter school,2014
22K198,p.s. 198 brooklyn,2017
25Q281,eastwest school of international studies,2010
